category,intent,toxicity,tweet_id
2,,,1176552723652780034
0,,0.0,1178415483634225153
0,,0.0,1181299564755787776
0,,0.0,1178228830189867008
0,,1.0,1180753144227213312
0,,0.0,1180548382219218946
3,,0.0,1177273420540796928
0,,0.0,1178439483131355136
0,,0.0,1175496880261873665
2,,,1178070805625950208
1,,0.0,1175467220207591424
0,,0.0,1176837090010701824
2,,,1178245691681976320
0,,0.0,1175721544355631104
3,,0.0,1175748602909614080
0,,1.0,1175851125062475778
0,,0.0,1181223470111379456
0,,0.0,1181559538236956673
2,,,1178731358987935745
1,,0.0,1177189343678672897
2,,,1176815970712805379
0,,0.0,1179501263211421696
0,,2.0,1180084255155802118
2,,,1176719929598533632
2,,,1176579738711838721
0,,0.0,1175443290495377410
0,,1.0,1178038619174518784
0,,0.0,1176578589992599552
2,,,1176534389393674248
2,,,1176584894027378688
0,,0.0,1179098220347215874
3,,0.0,1176380271790305280
0,,2.0,1178410765260333057
0,,1.0,1176995780416196609
0,,4.0,1179472506245324801
0,,3.0,1179060387305660416
0,,0.0,1181483543861633025
0,,0.0,1178074716864745474
0,,1.0,1178868249129357312
0,,0.0,1176535312589381632
2,,,1176587790894678018
2,,,1181558065570750464
0,,0.0,1179147029924253698
1,,0.0,1180407132379910144
3,,0.0,1180152835515850752
0,,2.0,1175826727261605888
0,,1.0,1175388507147255808
1,,0.0,1178722449292218368
3,,0.0,1175530715011792897
0,,0.0,1177169977750806528
0,,1.0,1175804845393158144
0,,1.0,1178298168578105344
0,,0.0,1180432475543212032
0,,0.0,1175497368910880769
1,,0.0,1176559938715471872
0,,1.0,1180505486346592257
2,,,1176572052331028481
0,,1.0,1180209934815944717
1,,0.0,1175800001601114113
2,,,1176577172368220161
0,,0.0,1178372833711415296
0,,0.0,1178745089797099522
2,,,1176583020079394822
0,,0.0,1177268725600444416
1,,0.0,1178548277005946882
0,,0.0,1176057967730483200
2,,,1176579330912264196
2,,,1180988550793302017
2,,,1175837110848430080
1,,0.0,1180523946053193735
2,,,1176580047911755779
2,,,1178955669023670272
0,,0.0,1176764799738363905
2,,,1176625191369236481
2,,,1176581601221910528
2,,,1176607040959127552
0,,1.0,1177665429906419712
2,,,1176121032408805376
0,,1.0,1180176019996721157
0,,0.0,1177703530024624130
0,,0.0,1180409454971494400
0,,1.0,1177272116036734977
0,,0.0,1180947547021627403
2,,,1177553448482553856
2,,,1178753548802285573
0,,0.0,1179134468520587266
2,,,1176562430895411204
0,,3.0,1176809394031476736
0,,0.0,1180586322919976961
3,,0.0,1179442582562234368
2,,,1176587332511850498
3,,0.0,1175831578511106048
0,,0.0,1177551456062312448
0,,1.0,1180179998533177345
1,,0.0,1176990603810414593
0,,1.0,1177263838934249474
3,,0.0,1176945505697501194
0,,1.0,1175502878133407745
2,,,1176894130645078016
0,,0.0,1181455070359146499
0,,0.0,1177589450601373698
2,,,1176977116459610112
1,,1.0,1179415395058552834
3,,0.0,1180532242579443712
0,,0.0,1178237916595855360
2,,,1179707581616529410
2,,,1181230085749248005
2,,,1176587567879376896
2,,,1176994032851083272
0,,1.0,1178613646655664128
0,,0.0,1177299464803049477
2,,,1176078403650428928
0,,1.0,1179152065261686784
2,,,1175473979328532480
0,,0.0,1180916858356039680
0,,1.0,1178067200546086912
2,,,1181668317288898562
2,,,1178359052230901765
0,,0.0,1178318306908016640
0,,0.0,1181114712597172224
2,,,1176619555596251136
2,,,1176586184174317569
2,,,1175160574747000838
2,,,1175314201818075136
0,,1.0,1175749940682940416
2,,,1176585199930548233
0,,0.0,1179470201676554240
0,,0.0,1180569137715847178
0,,0.0,1178582238038024192
2,,,1179833118842392576
2,,,1179441319338491904
0,,0.0,1177644823001665536
0,,0.0,1181846249240182790
2,,,1176816173884878848
0,,0.0,1179163945803927552
0,,1.0,1179264234548531200
0,,1.0,1181609173018185734
2,,,1181271075428212736
2,,,1175666047770353664
0,,0.0,1181280126731841536
0,,0.0,1176585288799440897
0,,1.0,1179475817572786177
2,,,1175497855873761288
0,,0.0,1177284925084581889
0,,2.0,1176433172273336321
0,,0.0,1178430278580281346
0,,0.0,1180915573196251136
0,,0.0,1175867155981713408
2,,,1176816555222622211
0,,0.0,1181639793572290560
2,,,1179846567928516609
1,,0.0,1179863368829734917
0,,1.0,1178703637826195459
2,,,1180430014719897600
0,,3.0,1176645161113260039
2,,,1176534442288046083
2,,,1178754649467346944
2,,,1177838772525916161
2,,,1180230062567755776
2,,,1176589809298677761
2,,,1177887704568287232
2,,,1179816242376523776
2,,,1178975721387155458
2,,,1175502310740561920
0,,2,1180933552541749248
2,,,1175729964076941319
0,,0,1180121261323816961
0,,0,1180057068167979008
1,,0,1175746055436210177
2,,,1180562861833236481
2,,,1176141383813468160
2,,,1175178955927773184
0,,0,1180204917463621633
2,,,1177992587304751105
2,,,1177183034593988608
2,,,1180092535026442240
0,,1,1181281032210771975
0,,0,1177879615362260992
0,,0,1180939053346295810
